,App,Price,Rating Count,Rating,Genres,Size (M),Type,New Genres,Price Category
3797,Free Fur All – We Bare Bears Minigame Collection,0.0,1449,4.5,Games,362.5,Free,Games,Free
3798,Pinchworm,0.0,2288,5.0,Games,100.6,Free,Games,Free
3799,Signily Keyboard - Sign Language Emoji and GIFs!,0.99,71,4.5,Utilities,89.9,Paid,Utilities,<$1
3800,U by BB&T,0.0,790,2.0,Finance,74.4,Free,Utilities,Free
3801,skyticket - Reserve Best Valued Air Tickets,0.0,0,0.0,Travel,8.3,Free,Other,Free
3802,Upperland,0.0,201,4.0,Games,126.6,Free,Games,Free
3803,Agar.io,0.0,176514,4.5,Games,64.0,Free,Games,Free
3804,Aralon: Forge and Flame,4.99,192,3.5,Games,1379.3,Paid,Games,$4-5
3805,SHOWTIME,0.0,1214,2.5,Entertainment,25.9,Free,Entertainment,Free
3806,EvilBane: Rise of Ravens,0.0,1428,4.5,Games,180.6,Free,Games,Free
3807,Pharaoh's Party: Coin Pusher,0.0,191,4.5,Games,227.4,Free,Games,Free
3808,Puzzle Strike,3.99,21,3.5,Games,410.3,Paid,Games,$3-4
3809,球球大作战,0.0,111,4.0,Games,124.6,Free,Games,Free
3810,Cops N Robbers (Jail Break 2) - Survival Mini Game,0.0,1559,4.0,Games,226.1,Free,Games,Free
3811,Money Multiplier,0.0,1,4.0,Games,40.5,Free,Games,Free
3812,天天快报 - 最热门的新闻资讯软件,0.0,15,3.0,News,96.7,Free,Entertainment,Free
3813,Eisenhorn: XENOS,5.99,100,3.5,Games,3008.3,Paid,Games,$5-10
3814,KING OF KARTS: Single- & Multiplayer Battles.,2.99,9,3.5,Games,481.4,Paid,Games,$1-3
3815,Popcorn Buzz - Free Group Calls,0.0,281,3.5,Social Networking,17.5,Free,Entertainment,Free
3816,"InShot Video Editor Music, No Crop, Cut",0.0,12779,5.0,Photo & Video,55.9,Free,Photo & Video,Free
3817,My Uncrowded,0.99,224,3.0,Games,171.7,Paid,Games,<$1
3818,PAC-MAN Championship Edition DX,4.99,517,4.5,Games,126.7,Paid,Games,$4-5
3819,Matchsticks ~ Free Puzzle Game with Matches,0.0,212,4.5,Games,32.5,Free,Games,Free
